compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
SOFT,22,10.0,1.0,1141,7953,1,0.0
SOFT,11,17.0,1.0,1141,7953,1,3.0
SOFT,1,14.0,1.0,1141,7953,1,3.0
HARD,22,26.0,11.0,1141,7953,2,0.0
SOFT,1,36.0,15.0,1141,7953,2,2.0
SOFT,11,34.0,18.0,1141,7953,2,2.0
HARD,22,40.0,27.0,1141,7953,3,0.0
HARD,11,57.0,35.0,1141,7953,3,0.0
HARD,1,57.0,37.0,1141,7953,3,0.0
SOFT,22,57.0,41.0,1141,7953,4,3.0
MEDIUM,1,18.0,1.0,1142,7779,1,0.0
MEDIUM,11,18.0,1.0,1142,7779,1,0.0
MEDIUM,22,17.0,1.0,1142,7779,1,0.0
HARD,22,50.0,18.0,1142,7779,2,0.0
HARD,11,50.0,19.0,1142,7779,2,0.0
HARD,1,50.0,19.0,1142,7779,2,0.0
MEDIUM,1,8.0,1.0,1143,7787,1,0.0
MEDIUM,22,8.0,1.0,1143,7787,1,0.0
HARD,11,1.0,1.0,1143,7787,1,0.0
MEDIUM,11,2.0,1.0,1143,7787,2,0.0
HARD,11,8.0,2.0,1143,7787,3,0.0
HARD,1,55.0,8.0,1143,7787,2,0.0
HARD,22,54.0,8.0,1143,7787,2,0.0
HARD,11,55.0,8.0,1143,7787,4,1.0
SOFT,22,55.0,54.0,1143,7787,3,0.0
SOFT,1,57.0,56.0,1143,7787,3,3.0
SOFT,11,57.0,55.0,1143,7787,5,0.0
SOFT,22,57.0,55.0,1143,7787,4,4.0
SOFT,1,58.0,58.0,1143,7787,4,5.0
SOFT,11,58.0,57.0,1143,7787,6,0.0
SOFT,22,58.0,57.0,1143,7787,5,8.0
MEDIUM,11,17.0,1.0,1207,9069,1,4.0
MEDIUM,1,17.0,1.0,1207,9069,1,3.0
MEDIUM,22,1.0,1.0,1207,9069,1,0.0
MEDIUM,22,2.0,2.0,1207,9069,2,6.0
MEDIUM,11,11.0,1.0,1207,9070,1,0.0
MEDIUM,1,10.0,1.0,1207,9070,1,0.0
MEDIUM,22,8.0,1.0,1207,9070,1,0.0
HARD,22,51.0,9.0,1207,9070,2,0.0
HARD,1,51.0,11.0,1207,9070,2,0.0
HARD,11,51.0,12.0,1207,9070,2,0.0
MEDIUM,11,20.0,1.0,1208,9078,1,0.0
HARD,1,45.0,1.0,1208,9078,1,0.0
HARD,22,36.0,1.0,1208,9078,1,0.0
HARD,11,57.0,21.0,1208,9078,2,0.0
MEDIUM,22,57.0,37.0,1208,9078,2,0.0
MEDIUM,1,57.0,46.0,1208,9078,2,0.0
MEDIUM,11,1.0,1.0,1210,9094,1,0.0
MEDIUM,22,53.0,1.0,1210,9094,1,0.0
MEDIUM,1,55.0,1.0,1210,9094,1,0.0
HARD,11,34.0,1.0,1210,9094,2,0.0
MEDIUM,11,53.0,34.0,1210,9094,3,1.0
INTERMEDIATE,22,76.0,53.0,1210,9094,2,0.0
INTERMEDIATE,11,57.0,53.0,1210,9094,4,0.0
INTERMEDIATE,1,78.0,55.0,1210,9094,2,0.0
WET,11,70.0,57.0,1210,9094,5,0.0
INTERMEDIATE,11,76.0,70.0,1210,9094,6,0.0
MEDIUM,11,27.0,1.0,1211,9102,1,0.0
MEDIUM,1,26.0,1.0,1211,9102,1,0.0
SOFT,22,10.0,1.0,1211,9102,1,0.0
HARD,22,34.0,11.0,1211,9102,2,0.0
HARD,1,52.0,27.0,1211,9102,2,0.0
HARD,11,50.0,28.0,1211,9102,2,0.0
MEDIUM,22,66.0,35.0,1211,9102,3,0.0
SOFT,11,66.0,51.0,1211,9102,3,0.0
SOFT,1,66.0,53.0,1211,9102,3,2.0
MEDIUM,22,1.0,1.0,1212,9110,1,0.0
HARD,11,37.0,1.0,1212,9110,1,0.0
MEDIUM,1,12.0,1.0,1212,9110,1,0.0
HARD,22,2.0,1.0,1212,9110,2,0.0
HARD,22,70.0,3.0,1212,9110,3,0.0
HARD,1,42.0,12.0,1212,9110,2,0.0
MEDIUM,11,68.0,37.0,1212,9110,2,0.0
MEDIUM,1,70.0,42.0,1212,9110,3,0.0
SOFT,11,70.0,68.0,1212,9110,3,0.0
INTERMEDIATE,1,24.0,1.0,1213,9117,1,0.0
INTERMEDIATE,22,18.0,1.0,1213,9117,1,0.0
INTERMEDIATE,11,24.0,1.0,1213,9117,1,0.0
SOFT,22,24.0,19.0,1213,9117,2,3.0
MEDIUM,22,1.0,1.0,1213,9118,1,0.0
MEDIUM,1,2.0,1.0,1213,9118,1,0.0
MEDIUM,11,2.0,1.0,1213,9118,1,0.0
HARD,22,2.0,2.0,1213,9118,2,0.0
MEDIUM,1,24.0,3.0,1213,9118,2,0.0
