broadcast_name,country_code,driver_number,first_name,full_name,last_name,meeting_key,name_acronym,session_key,team_colour,team_name
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1140,VER,7763,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1140,PER,7763,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1140,PER,7764,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1140,VER,9222,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1141,VER,7765,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1141,PER,7765,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1141,VER,7766,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1141,PER,7766,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1141,VER,7767,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1141,PER,7767,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1141,VER,7768,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1141,PER,7768,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1141,VER,7953,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1141,PER,7953,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1142,VER,7772,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1142,PER,7772,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1142,VER,7773,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1142,PER,7773,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1142,VER,7774,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1142,PER,7774,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1142,VER,7775,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1142,PER,7775,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1142,VER,7779,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1142,PER,7779,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1143,VER,7780,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1143,PER,7780,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1143,VER,7781,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1143,PER,7781,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1143,VER,7782,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1143,PER,7782,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1143,VER,7783,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1143,PER,7783,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1143,VER,7787,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1143,PER,7787,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1207,VER,9063,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1207,PER,9063,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1207,VER,9064,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1207,PER,9064,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1207,VER,9069,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1207,PER,9069,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1207,VER,9070,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1207,PER,9070,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1207,VER,9278,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1207,PER,9278,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1208,VER,9071,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1208,PER,9071,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1208,VER,9072,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1208,PER,9072,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1208,VER,9073,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1208,PER,9073,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1208,VER,9074,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1208,PER,9074,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1208,VER,9078,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1208,PER,9078,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1210,VER,9087,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1210,PER,9087,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1210,VER,9088,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1210,PER,9088,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1210,VER,9089,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1210,PER,9089,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1210,VER,9090,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1210,PER,9090,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1210,VER,9094,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1210,PER,9094,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1211,VER,9095,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1211,PER,9095,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1211,VER,9096,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1211,PER,9096,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1211,VER,9097,3671C6,Red Bull Racing
