compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start,lap_end_duration,fastest_lap_duration
SOFT,22,10.0,1.0,1141,7953,1,0.0,103.749,99.95
SOFT,11,17.0,1.0,1141,7953,1,3.0,101.36,98.404
SOFT,1,14.0,1.0,1141,7953,1,3.0,101.295,97.974
HARD,22,26.0,11.0,1141,7953,2,0.0,102.227,98.742
SOFT,1,36.0,15.0,1141,7953,2,2.0,100.964,97.372
SOFT,11,34.0,18.0,1141,7953,2,2.0,100.686,97.169
HARD,22,40.0,27.0,1141,7953,3,0.0,110.35,97.779
HARD,11,57.0,35.0,1141,7953,3,0.0,96.558,96.344
HARD,1,57.0,37.0,1141,7953,3,0.0,96.373,96.236
SOFT,22,57.0,41.0,1141,7953,4,3.0,98.246,96.637
MEDIUM,1,18.0,1.0,1142,7779,1,0.0,134.348,93.79
MEDIUM,11,18.0,1.0,1142,7779,1,0.0,127.357,93.961
MEDIUM,22,17.0,1.0,1142,7779,1,0.0,102.41,95.616
HARD,22,50.0,18.0,1142,7779,2,0.0,93.931,93.931
HARD,11,50.0,19.0,1142,7779,2,0.0,93.691,92.188
HARD,1,50.0,19.0,1142,7779,2,0.0,91.906,91.906
MEDIUM,1,8.0,1.0,1143,7787,1,0.0,1080.581,82.843
MEDIUM,22,8.0,1.0,1143,7787,1,0.0,1088.144,84.11
MEDIUM,11,2.0,1.0,1143,7787,2,0.0,131.789,131.789
HARD,11,8.0,2.0,1143,7787,3,0.0,1103.263,83.584
HARD,1,55.0,8.0,1143,7787,2,0.0,168.5,80.342
HARD,22,54.0,8.0,1143,7787,2,0.0,123.458,81.789
HARD,11,55.0,8.0,1143,7787,4,1.0,1011.29,80.235
SOFT,22,55.0,54.0,1143,7787,3,0.0,958.961,123.458
SOFT,1,57.0,56.0,1143,7787,3,3.0,179.625,179.625
SOFT,11,57.0,55.0,1143,7787,5,0.0,1994.312,215.812
SOFT,22,57.0,55.0,1143,7787,4,4.0,2002.289,192.156
SOFT,1,58.0,58.0,1143,7787,4,5.0,2014.652,2014.652
SOFT,11,58.0,57.0,1143,7787,6,0.0,163.325,163.325
SOFT,22,58.0,57.0,1143,7787,5,8.0,156.971,156.971
MEDIUM,11,11.0,1.0,1207,9070,1,0.0,142.994,106.448
MEDIUM,1,10.0,1.0,1207,9070,1,0.0,110.778,106.801
MEDIUM,22,8.0,1.0,1207,9070,1,0.0,112.849,108.228
HARD,22,51.0,9.0,1207,9070,2,0.0,105.727,105.727
HARD,1,51.0,11.0,1207,9070,2,0.0,104.232,104.232
HARD,11,51.0,12.0,1207,9070,2,0.0,104.926,104.589
MEDIUM,11,20.0,1.0,1208,9078,1,0.0,97.863,91.916
HARD,1,45.0,1.0,1208,9078,1,0.0,95.856,90.988
HARD,22,36.0,1.0,1208,9078,1,0.0,97.007,92.276
HARD,11,57.0,21.0,1208,9078,2,0.0,90.56,90.56
MEDIUM,22,57.0,37.0,1208,9078,2,0.0,91.325,91.038
MEDIUM,1,57.0,46.0,1208,9078,2,0.0,90.273,89.708
MEDIUM,11,1.0,1.0,1210,9094,1,0.0,118.53,118.53
MEDIUM,22,53.0,1.0,1210,9094,1,0.0,125.687,77.68
MEDIUM,1,55.0,1.0,1210,9094,1,0.0,130.567,76.604
